,lake.id,year,Bd.Status,Zscore,longitude,latitude
325,10418,2006,1,2118.12,-118.425204647746,NA
326,10418,2006,1,4020.06,-118.425204647746,NA
327,10418,2006,1,635.39,-118.425204647746,NA
328,10418,2006,1,5260.87,-118.425204647746,NA
329,10418,2006,1,2338.43,-118.425204647746,NA
330,10418,2006,1,8112.24,-118.425204647746,NA
331,10418,2006,1,12295.76,-118.425204647746,NA
332,10418,2006,1,7348.33,-118.425204647746,NA
333,10418,2006,0,0,-118.425204647746,NA
334,10418,2006,1,6100.59,-118.425204647746,NA
335,10418,2006,1,6408.67,-118.425204647746,NA
336,10418,2006,1,4465.28,-118.425204647746,NA
337,10418,2006,1,4.17,-118.425204647746,NA
338,10418,2006,1,4.24,-118.425204647746,NA
339,10418,2006,1,5.97,-118.425204647746,NA
340,10418,2006,1,6.51,-118.425204647746,NA
341,10418,2006,1,6.66,-118.425204647746,NA
342,10418,2006,1,7.98,-118.425204647746,NA
343,10418,2006,1,9.19,-118.425204647746,NA
344,10418,2006,1,9.94,-118.425204647746,NA
345,10418,2006,1,10.86,-118.425204647746,NA
346,10418,2006,1,11.34,-118.425204647746,NA
347,10418,2006,1,19.27,-118.425204647746,NA
348,10418,2006,1,27,-118.425204647746,NA
349,10418,2006,1,1890.51,-118.425204647746,NA
350,10418,2006,1,506.78,-118.425204647746,NA
351,10418,2006,1,167.66,-118.425204647746,NA
352,10418,2006,1,1353.4,-118.425204647746,NA
353,10418,2006,1,391.72,-118.425204647746,NA
354,10418,2006,0,0,-118.425204647746,NA
355,10418,2006,1,702.89,-118.425204647746,NA
356,10418,2006,1,2079.68,-118.425204647746,NA
357,10418,2006,1,231.21,-118.425204647746,NA
358,10418,2006,1,135.59,-118.425204647746,NA
359,10418,2006,1,38.73,-118.425204647746,NA
360,10418,2006,1,603.26,-118.425204647746,NA
361,10418,2006,1,178.22,-118.425204647746,NA
362,10418,2006,1,154.64,-118.425204647746,NA
363,10418,2006,1,803.2,-118.425204647746,NA
364,11069,2006,1,737.84,-118.42483175584,NA
365,11069,2006,1,0.19,-118.42483175584,NA
366,11069,2006,1,81.86,-118.42483175584,NA
367,11069,2006,1,13.6,-118.42483175584,NA
368,11069,2006,1,1.92,-118.42483175584,NA
369,11069,2006,1,211.28,-118.42483175584,NA
370,11069,2006,1,16.29,-118.42483175584,NA
371,11069,2006,1,0.18,-118.42483175584,NA
372,11069,2006,1,3.02,-118.42483175584,NA
373,11069,2006,1,108.58,-118.42483175584,NA
374,11069,2006,1,867.48,-118.42483175584,NA
375,11069,2006,0,0,-118.42483175584,NA
376,11069,2006,0,0,-118.42483175584,NA
377,11069,2006,0,0,-118.42483175584,NA
378,11069,2006,0,0,-118.42483175584,NA
379,11069,2006,1,4945.04,-118.42483175584,NA
380,11069,2006,1,24144.4,-118.42483175584,NA
381,11069,2006,1,8450.24,-118.42483175584,NA
382,11069,2006,1,4297.62,-118.42483175584,NA
383,11069,2006,1,478.47,-118.42483175584,NA
384,11069,2006,1,2760.78,-118.42483175584,NA
385,11069,2006,1,12644.72,-118.42483175584,NA
386,11069,2006,1,1127.32,-118.42483175584,NA
387,11069,2006,1,12109.28,-118.42483175584,NA
388,11069,2006,1,340.2,-118.42483175584,NA
389,11069,2006,1,9522,-118.42483175584,NA
390,11069,2006,1,2597.59,-118.42483175584,NA
391,11069,2006,1,21120.64,-118.42483175584,NA
392,11069,2006,1,11379.44,-118.42483175584,NA
393,11068,2005,0,0,-118.423515164528,NA
394,11068,2005,0,0,-118.423515164528,NA
395,11068,2005,0,0,-118.423515164528,NA
